fe_count,best_error
540,3.7725505429e+11
9473,3.4581521459e+09
16863,5.2525353325e+08
23550,2.6694633340e+07
29745,9.0212701833e+05
35557,1.2652840715e+05
41054,6.5338811925e+04
46281,2.1577229652e+04
51276,1.0739375849e+04
56064,7.3095096320e+03
60668,5.8659864288e+03
65103,3.6204890061e+03
69386,2.9161815973e+03
73527,2.5909762560e+03
77537,2.4548281244e+03
81425,2.3727349253e+03
85200,2.2484508592e+03
88869,2.1688868271e+03
92436,2.1126118373e+03
95908,2.0832070548e+03
99291,2.0614897640e+03
102587,2.0554565024e+03
105801,2.0425600433e+03
108938,2.0360139200e+03
112001,2.0360139200e+03
114993,2.0327721305e+03
117917,2.0317657003e+03
120775,2.0317657003e+03
123572,2.0269620880e+03
126309,2.0269620880e+03
128988,2.0249091769e+03
131611,2.0228264552e+03
134181,2.0224081171e+03
136698,2.0214321298e+03
139165,2.0211380745e+03
141582,2.0202769337e+03
143953,2.0182304934e+03
146279,2.0169421302e+03
148562,2.0161160741e+03
150800,2.0132966885e+03
152996,2.0132966885e+03
155155,2.0130455539e+03
157271,2.0117549310e+03
159352,2.0111079768e+03
161393,2.0107038947e+03
163401,2.0103550703e+03
165371,2.0095873043e+03
167308,2.0090847591e+03
169214,2.0087639169e+03
171084,2.0076586490e+03
172924,2.0075362600e+03
174734,2.0075362600e+03
176515,2.0069442169e+03
178265,2.0067480136e+03
179985,2.0065644438e+03
181678,2.0065644438e+03
183344,2.0065439273e+03
184983,2.0065439273e+03
186596,2.0065369466e+03
188184,2.0062561958e+03
189747,2.0062513092e+03
191285,2.0062513092e+03
192800,2.0062361171e+03
194291,2.0059445790e+03
195760,2.0059445790e+03
197207,2.0059445790e+03
198632,2.0057247702e+03
200032,2.0057045151e+03
201412,2.0056160202e+03
202772,2.0056017413e+03
204113,2.0056017413e+03
205436,2.0055849804e+03
206736,2.0054094045e+03
208016,2.0053781629e+03
209279,2.0052946924e+03
210527,2.0051886496e+03
211752,2.0051639208e+03
212960,2.0050881901e+03
214154,2.0049634390e+03
215329,2.0048478230e+03
216485,2.0048451092e+03
217629,2.0047957498e+03
218754,2.0047611740e+03
219862,2.0046303303e+03
220960,2.0046234634e+03
222035,2.0046022604e+03
223100,2.0045934323e+03
224150,2.0045914308e+03
225183,2.0045728905e+03
226208,2.0045065794e+03
227210,2.0045053400e+03
228207,2.0045052504e+03
229182,2.0044833826e+03
230151,2.0044813771e+03
231101,2.0044719077e+03
232043,2.0044719077e+03
232968,2.0044714702e+03
233885,2.0044678177e+03
234785,2.0044503497e+03
235679,2.0044003375e+03
236554,2.0043809210e+03
237427,2.0043809210e+03
238277,2.0043664782e+03
239127,2.0043290254e+03
239955,2.0043150919e+03
240780,2.0043138060e+03
241590,2.0043128288e+03
242390,2.0043128288e+03
243185,2.0043127944e+03
243960,2.0042969849e+03
244735,2.0042969626e+03
245492,2.0042944279e+03
246242,2.0042908527e+03
246988,2.0042908527e+03
247713,2.0042908527e+03
248438,2.0042908526e+03
249151,2.0042908517e+03
249851,2.0042899622e+03
250551,2.0042899524e+03
251234,2.0042640553e+03
251909,2.0042639189e+03
252584,2.0042619928e+03
253239,2.0042589947e+03
253889,2.0042589947e+03
254539,2.0042589947e+03
255170,2.0042589685e+03
255795,2.0042589685e+03
256420,2.0042578020e+03
257031,2.0042561832e+03
257631,2.0042532521e+03
258231,2.0042362114e+03
258825,2.0042351580e+03
259400,2.0042159534e+03
259975,2.0042145785e+03
260550,2.0042145653e+03
261106,2.0042130573e+03
261656,2.0041695162e+03
262206,2.0041694353e+03
262754,2.0041694039e+03
263279,2.0041642135e+03
263804,2.0041443187e+03
264329,2.0041443165e+03
264849,2.0041443165e+03
265349,2.0041389174e+03
265849,2.0041389174e+03
266349,2.0041389121e+03
266846,2.0041385344e+03
267321,2.0041342476e+03
267796,2.0041315785e+03
268271,2.0041298631e+03
268746,2.0041298631e+03
269201,2.0041298042e+03
269651,2.0041061256e+03
270101,2.0041016844e+03
270551,2.0040989677e+03
270996,2.0040967712e+03
271421,2.0040808247e+03
271846,2.0040808244e+03
272271,2.0040777153e+03
272696,2.0040767888e+03
273113,2.0040706252e+03
273513,2.0040703210e+03
273913,2.0040701581e+03
274313,2.0040665033e+03
274713,2.0040589278e+03
275111,2.0040589017e+03
275486,2.0040466141e+03
275861,2.0040416083e+03
276236,2.0040364562e+03
276611,2.0040228354e+03
276986,2.0040228299e+03
277349,2.0040228272e+03
277699,2.0040228272e+03
278049,2.0040207989e+03
278399,2.0040180464e+03
278749,2.0040180464e+03
279099,2.0040048963e+03
279438,2.0040047457e+03
279763,2.0040047457e+03
280088,2.0040047455e+03
280413,2.0039845573e+03
280738,2.0039730574e+03
281063,2.0039730574e+03
281388,2.0039730574e+03
281691,2.0039730574e+03
281991,2.0039713155e+03
282291,2.0039713155e+03
282591,2.0039713155e+03
282891,2.0039556427e+03
283191,2.0039556427e+03
283491,2.0039556421e+03
283772,2.0039525175e+03
284047,2.0039525175e+03
284322,2.0039525172e+03
284597,2.0039522943e+03
284872,2.0039463456e+03
285147,2.0039463456e+03
285422,2.0039463456e+03
285697,2.0039463454e+03
285949,2.0039463452e+03
286199,2.0039463452e+03
286449,2.0039460453e+03
286699,2.0039460453e+03
286949,2.0039456035e+03
287199,2.0039447629e+03
287449,2.0039447194e+03
287699,2.0039447175e+03
287942,2.0039447175e+03
288167,2.0039364228e+03
288392,2.0039364049e+03
288617,2.0039364044e+03
288842,2.0039364026e+03
289067,2.0039364017e+03
289292,2.0039358825e+03
289517,2.0039358651e+03
289742,2.0039358648e+03
289967,2.0039358648e+03
290177,2.0039358648e+03
290377,2.0039358648e+03
290577,2.0039342626e+03
290777,2.0039342622e+03
290977,2.0039342589e+03
291177,2.0039342586e+03
291377,2.0039342586e+03
291577,2.0039342584e+03
291777,2.0039342584e+03
291977,2.0039342553e+03
292177,2.0039342553e+03
292360,2.0039342550e+03
292535,2.0039342550e+03
292710,2.0039342550e+03
292885,2.0039342550e+03
293060,2.0039342542e+03
293235,2.0039342530e+03
293410,2.0039304021e+03
293585,2.0039304020e+03
293760,2.0039304020e+03
293935,2.0039304020e+03
294110,2.0039304020e+03
294285,2.0039304019e+03
294458,2.0039304019e+03
294608,2.0039304019e+03
294758,2.0039303950e+03
294908,2.0039303950e+03
295058,2.0039303950e+03
295208,2.0039303950e+03
295358,2.0039303950e+03
295508,2.0039303950e+03
295658,2.0039302158e+03
295808,2.0039301987e+03
295958,2.0039301843e+03
296108,2.0039301843e+03
296258,2.0039301843e+03
296408,2.0039301843e+03
296558,2.0039301842e+03
296700,2.0039301842e+03
296825,2.0039301842e+03
296950,2.0039301842e+03
297075,2.0039301842e+03
297200,2.0039301842e+03
297325,2.0039301842e+03
297450,2.0039301842e+03
297575,2.0039292928e+03
297700,2.0039292928e+03
297825,2.0039292928e+03
297950,2.0039292928e+03
298075,2.0039292928e+03
298200,2.0039292430e+03
298325,2.0039288842e+03
298450,2.0039288842e+03
298575,2.0039288815e+03
298700,2.0039288786e+03
298825,2.0039288786e+03
298937,2.0039288012e+03
299037,2.0039288012e+03
