fe_count,best_error
180,1.5545911810e+02
3177,1.1523924626e+02
5666,1.1136320081e+02
7923,1.1033053579e+02
10018,1.0842095390e+02
11987,1.0447645367e+02
13850,1.0396748947e+02
15625,1.0382453759e+02
17324,1.0357000981e+02
18952,1.0305096777e+02
20521,1.0211293337e+02
22033,1.0175468597e+02
23495,1.0175106164e+02
24909,1.0130627945e+02
26280,1.0130412385e+02
27612,1.0118470997e+02
28903,1.0103717491e+02
30161,1.0103130670e+02
31384,1.0101127471e+02
32575,1.0096533577e+02
33737,1.0084766958e+02
34871,1.0084766958e+02
35977,1.0083690445e+02
37057,1.0082345838e+02
38112,1.0082175827e+02
39143,1.0081174857e+02
40151,1.0081122781e+02
41138,1.0081083593e+02
42105,1.0081036541e+02
43053,1.0081036541e+02
43978,1.0080554981e+02
44884,1.0079945282e+02
45775,1.0079843195e+02
46650,1.0079793517e+02
47502,1.0079028890e+02
48342,1.0078764353e+02
49167,1.0078554120e+02
49972,1.0078508698e+02
50770,1.0078383602e+02
51545,1.0078360991e+02
52312,1.0078359908e+02
53062,1.0078358322e+02
53801,1.0078345678e+02
54526,1.0078282209e+02
55240,1.0078264076e+02
55940,1.0078264076e+02
56631,1.0078264060e+02
57306,1.0078251789e+02
57977,1.0078237689e+02
58627,1.0078235437e+02
59277,1.0078232535e+02
59907,1.0078231537e+02
60532,1.0078228167e+02
61149,1.0078228167e+02
61749,1.0078227944e+02
62349,1.0078221256e+02
62932,1.0078220667e+02
63507,1.0078213830e+02
64082,1.0078209097e+02
64635,1.0078199483e+02
65185,1.0078198465e+02
65735,1.0078198203e+02
66262,1.0078196446e+02
66787,1.0078195929e+02
67312,1.0078195876e+02
67819,1.0078195875e+02
68319,1.0078194582e+02
68819,1.0078194549e+02
69312,1.0078194208e+02
69787,1.0078192926e+02
70262,1.0078192926e+02
70737,1.0078192926e+02
70978,1.0078192926e+02
73554,1.0078192926e+02
75462,1.0078192926e+02
77090,1.0078192926e+02
78528,1.0078192926e+02
79823,0.0000000000e+00
81002,0.0000000000e+00
82085,0.0000000000e+00
83087,0.0000000000e+00
84018,0.0000000000e+00
84888,0.0000000000e+00
85702,0.0000000000e+00
86465,0.0000000000e+00
86706,0.0000000000e+00
88929,0.0000000000e+00
90412,0.0000000000e+00
91597,0.0000000000e+00
92589,0.0000000000e+00
93439,0.0000000000e+00
94179,0.0000000000e+00
94420,0.0000000000e+00
96205,0.0000000000e+00
97191,0.0000000000e+00
97886,0.0000000000e+00
98409,0.0000000000e+00
98812,0.0000000000e+00
99130,0.0000000000e+00
99384,0.0000000000e+00
99590,0.0000000000e+00
99755,0.0000000000e+00
99890,0.0000000000e+00
100000,0.0000000000e+00
