fe_count,best_error
540,1.9838666470e+03
9473,6.5217460345e+02
16863,6.1010396198e+02
23550,5.8079409200e+02
29745,5.3494140219e+02
35557,5.2594624762e+02
41054,5.2145709864e+02
46281,5.1686311576e+02
51276,5.1418907024e+02
56064,5.0967656679e+02
60668,5.0621087309e+02
65103,5.0553277255e+02
69386,5.0280531074e+02
73527,5.0134946302e+02
77537,5.0087834935e+02
81425,4.9896234053e+02
85200,4.9712763682e+02
88869,4.9597643692e+02
92436,4.9463576376e+02
95908,4.9373781613e+02
99291,4.9323425511e+02
102587,4.9275253990e+02
105801,4.9209119375e+02
108938,4.9189253101e+02
112001,4.9181749558e+02
114993,4.9127248421e+02
117917,4.9119894572e+02
120775,4.9015169352e+02
123572,4.9009318511e+02
126309,4.8993856685e+02
128988,4.8987339860e+02
131611,4.8936532185e+02
134181,4.8852951797e+02
136698,4.8848849822e+02
139165,4.8802274033e+02
141582,4.8798880768e+02
143953,4.8795235100e+02
146279,4.8788869816e+02
148562,4.8787505522e+02
150800,4.8786043813e+02
152996,4.8779572971e+02
155155,4.8778783822e+02
157271,4.8772496138e+02
159352,4.8677667233e+02
161393,4.8676198437e+02
163401,4.8675941888e+02
165371,4.8663113841e+02
167308,4.8657882535e+02
169214,4.8657750842e+02
171084,4.8627470844e+02
172924,4.8609670302e+02
174734,4.8609628169e+02
176515,4.8609606057e+02
178265,4.8602409079e+02
179985,4.8525041934e+02
181678,4.8507066179e+02
183344,4.8503460709e+02
184983,4.8502654053e+02
186596,4.8502654053e+02
188184,4.8452026685e+02
189747,4.8395205762e+02
191285,4.8395070456e+02
192800,4.8395052463e+02
194291,4.8395052463e+02
195760,4.8395044440e+02
197207,4.8296143896e+02
198632,4.8293612880e+02
200032,4.8293563413e+02
201412,4.8290924116e+02
202772,4.8287903638e+02
204113,4.8261440516e+02
205436,4.8215497077e+02
206736,4.8214728470e+02
208016,4.8211465220e+02
209279,4.8211161244e+02
210527,4.8199985605e+02
211752,4.8199983390e+02
212960,4.8199983373e+02
214154,4.8195475490e+02
215329,4.8195250495e+02
216485,4.8195250495e+02
217629,4.8182768654e+02
218754,4.8181805238e+02
219862,4.8179044910e+02
220960,4.8161734848e+02
222035,4.8150415136e+02
223100,4.8125415469e+02
224150,4.8125415280e+02
225183,4.8125412447e+02
226208,4.8122773823e+02
227210,4.8122387313e+02
228207,4.8122387313e+02
229182,4.8122369509e+02
230151,4.8122369509e+02
231101,4.8122239111e+02
232043,4.8122239111e+02
232968,4.8122239111e+02
233885,4.8122239111e+02
234785,4.8120053171e+02
235679,4.8120053171e+02
236554,4.8118207475e+02
237427,4.8118207473e+02
238277,4.8118207451e+02
239127,4.8117522974e+02
239955,4.8117479192e+02
240780,4.8117328735e+02
241590,4.8117271023e+02
242390,4.8117112760e+02
243185,4.8117112688e+02
243960,4.8116931994e+02
244735,4.8116541300e+02
245492,4.8115999644e+02
246242,4.8115854636e+02
246988,4.8115839921e+02
247713,4.8115839551e+02
248438,4.8115836100e+02
249151,4.8115836100e+02
249851,4.8115806239e+02
250551,4.8111889779e+02
251234,4.8111889711e+02
251909,4.8111295131e+02
252584,4.8111111347e+02
253239,4.8111111205e+02
253889,4.8111111205e+02
254539,4.8111111205e+02
255170,4.8111082072e+02
255795,4.8111078681e+02
256420,4.8111078667e+02
257031,4.8111015541e+02
257631,4.8111015026e+02
258231,4.8111015026e+02
258825,4.8111015026e+02
259400,4.8111015026e+02
259975,4.8111014591e+02
260550,4.8109373509e+02
261106,4.8106415008e+02
261656,4.8106415006e+02
262206,4.8104488287e+02
262754,4.8104488287e+02
263279,4.8102386539e+02
263804,4.8097764972e+02
264329,4.8097764972e+02
264849,4.8097764972e+02
265349,4.8092440934e+02
265849,4.8078675604e+02
266349,4.8078675604e+02
266846,4.8078675604e+02
267321,4.8078675603e+02
267796,4.8067912900e+02
268271,4.8067912900e+02
268746,4.8067120462e+02
269201,4.8067120462e+02
269651,4.8067120458e+02
270101,4.8067119779e+02
270551,4.8067119779e+02
270996,4.8067081845e+02
271421,4.8066994148e+02
271846,4.8066989520e+02
272271,4.8066987863e+02
272696,4.8066661047e+02
273113,4.8066012499e+02
273513,4.8066012499e+02
273913,4.8066012499e+02
274313,4.8066010428e+02
274713,4.8066010428e+02
275111,4.8066010428e+02
275486,4.8064974803e+02
275861,4.8064974803e+02
276236,4.8064974539e+02
276611,4.8063707525e+02
276986,4.8063150351e+02
277349,4.8063150351e+02
277699,4.8062989489e+02
278049,4.8062937050e+02
278399,4.8062937050e+02
278749,4.8062937050e+02
279099,4.8062719251e+02
279438,4.8062717022e+02
279763,4.8060797549e+02
280088,4.8060475271e+02
280413,4.8060453559e+02
280738,4.8059452998e+02
281063,4.8057752606e+02
281388,4.8057743902e+02
281691,4.8057568741e+02
281991,4.8057568741e+02
282291,4.8057501261e+02
282591,4.8056094301e+02
282891,4.8056000049e+02
283191,4.8054090111e+02
283491,4.8052959396e+02
283772,4.8052483311e+02
284047,4.8052479955e+02
284322,4.8052217987e+02
284597,4.8051511558e+02
284872,4.8051511558e+02
285147,4.8050331037e+02
285422,4.8050326724e+02
285697,4.8050326196e+02
285949,4.8049930291e+02
286199,4.8049813861e+02
286449,4.8049758138e+02
286699,4.8049758138e+02
286949,4.8049725364e+02
287199,4.8049496448e+02
287449,4.8049496448e+02
287699,4.8049148558e+02
287942,4.8049147342e+02
288167,4.8049126207e+02
288392,4.8048492833e+02
288617,4.8048491723e+02
288842,4.8048491723e+02
289067,4.8048438358e+02
289292,4.8048438358e+02
289517,4.8048356394e+02
289742,4.8046527832e+02
289967,4.8046526774e+02
290177,4.8046523152e+02
290377,4.8046388942e+02
290577,4.8046372751e+02
290777,4.8046242793e+02
290977,4.8045462516e+02
291177,4.8045457790e+02
291377,4.8045457780e+02
291577,4.8045457780e+02
291777,4.8044998081e+02
291977,4.8044920383e+02
292177,4.8044920383e+02
292360,4.8044920339e+02
292535,4.8044920268e+02
292710,4.8041334303e+02
292885,4.8039924304e+02
293060,4.8039924304e+02
293235,4.8039924105e+02
293410,4.8039908221e+02
293585,4.8039908221e+02
293760,4.8039327974e+02
293935,4.8037930097e+02
294110,4.8037858829e+02
294285,4.8037445908e+02
294458,4.8037444078e+02
294608,4.8037444078e+02
294758,4.8037444078e+02
294908,4.8037444078e+02
295058,4.8037376875e+02
295208,4.8037368105e+02
295358,4.8037366645e+02
295508,4.8037366642e+02
295658,4.8037366642e+02
295808,4.8037366642e+02
295958,4.8036381080e+02
296108,4.8036366145e+02
296258,4.8036366127e+02
296408,4.8036366127e+02
296558,4.8036366127e+02
296700,4.8036366127e+02
296825,4.8033255276e+02
296950,4.8033122347e+02
297075,4.8033118701e+02
297200,4.8032973657e+02
297325,4.8032973657e+02
297450,4.8032973561e+02
297575,4.8032973446e+02
297700,4.8032970341e+02
297825,4.8032970341e+02
297950,4.8032700947e+02
298075,4.8031906134e+02
298200,4.8030075758e+02
298325,4.8029558357e+02
298450,4.8029555742e+02
298575,4.8027685723e+02
298700,4.8027685678e+02
298825,4.8027473589e+02
298937,4.8027473589e+02
299037,4.8027473589e+02
299137,4.8027473497e+02
299237,4.8027183332e+02
299337,4.8027089702e+02
299437,4.8027058888e+02
299537,4.8027058888e+02
299637,4.8026940597e+02
299737,4.8026940597e+02
299837,4.8024912338e+02
299937,4.8024911645e+02
300000,4.8024622207e+02
