fe_count,best_error
540,8.6485065110e+04
9473,1.2765075188e+04
16863,5.3823741944e+03
23550,1.0522187533e+03
29745,4.3290635647e+02
35557,2.4633403779e+02
41054,2.0864593882e+02
46281,2.0175236998e+02
51276,2.0038385418e+02
56064,2.0007087017e+02
60668,2.0001444887e+02
65103,2.0000298086e+02
69386,2.0000067773e+02
73527,2.0000016444e+02
77537,2.0000003963e+02
81425,2.0000000913e+02
85200,2.0000000224e+02
88869,2.0000000054e+02
92436,2.0000000013e+02
95908,2.0000000003e+02
99291,2.0000000001e+02
102587,2.0000000000e+02
105801,2.0000000000e+02
108938,2.0000000000e+02
112001,2.0000000000e+02
114993,2.0000000000e+02
117917,2.0000000000e+02
120775,2.0000000000e+02
123572,2.0000000000e+02
126309,2.0000000000e+02
128988,2.0000000000e+02
131611,2.0000000000e+02
134181,2.0000000000e+02
136698,2.0000000000e+02
139165,2.0000000000e+02
141582,2.0000000000e+02
142122,2.0000000000e+02
150500,2.0000000000e+02
157044,2.0000000000e+02
162796,2.0000000000e+02
168003,2.0000000000e+02
172792,2.0000000000e+02
177246,2.0000000000e+02
177786,2.0000000000e+02
185862,2.0000000000e+02
192021,2.0000000000e+02
197359,2.0000000000e+02
202143,2.0000000000e+02
206502,2.0000000000e+02
210521,2.0000000000e+02
214250,2.0000000000e+02
217734,2.0000000000e+02
221003,2.0000000000e+02
224082,2.0000000000e+02
226991,2.0000000000e+02
229746,2.0000000000e+02
230286,2.0000000000e+02
237651,2.0000000000e+02
242924,2.0000000000e+02
247335,2.0000000000e+02
251165,2.0000000000e+02
254562,2.0000000000e+02
257618,2.0000000000e+02
260387,2.0000000000e+02
262916,2.0000000000e+02
265238,2.0000000000e+02
267380,2.0000000000e+02
269361,2.0000000000e+02
271201,2.0000000000e+02
272913,2.0000000000e+02
274510,2.0000000000e+02
276002,2.0000000000e+02
277399,2.0000000000e+02
278709,2.0000000000e+02
279939,2.0000000000e+02
281094,2.0000000000e+02
282181,2.0000000000e+02
283205,2.0000000000e+02
284171,2.0000000000e+02
285080,2.0000000000e+02
285940,2.0000000000e+02
286480,2.0000000000e+02
291390,2.0000000000e+02
293879,2.0000000000e+02
295541,2.0000000000e+02
296722,2.0000000000e+02
297590,2.0000000000e+02
298239,2.0000000000e+02
298730,2.0000000000e+02
299106,2.0000000000e+02
299396,2.0000000000e+02
299619,2.0000000000e+02
299792,2.0000000000e+02
299927,2.0000000000e+02
300000,2.0000000000e+02
