fe_count,best_error
540,8.6200118130e+03
9473,1.0499908594e+03
16863,8.9828741576e+02
23550,8.4725158558e+02
29745,8.3030183668e+02
35557,8.2670575664e+02
41054,8.2579366200e+02
46281,8.2546379949e+02
51276,8.2539676637e+02
56064,8.2538217432e+02
60668,8.2538052482e+02
65103,8.2538031211e+02
69386,8.2538029971e+02
73527,8.2538029744e+02
77537,8.2538029728e+02
81425,8.2538029727e+02
85200,8.2538029727e+02
88869,8.2538029727e+02
92436,8.2538029727e+02
95908,8.2538029727e+02
99291,8.2538029727e+02
102587,8.2538029727e+02
103127,8.2538029727e+02
106730,8.2538029727e+02
109845,8.2538029727e+02
110385,8.2538029727e+02
113823,8.2538029727e+02
116773,8.2538029727e+02
117313,8.2538029727e+02
120601,8.2538029727e+02
123402,8.2538029727e+02
123942,8.2538029727e+02
127092,8.2538029727e+02
129754,8.2538029727e+02
130294,8.2538029727e+02
133316,8.2538029727e+02
135850,8.2538029727e+02
136390,8.2538029727e+02
139294,8.2538029727e+02
141709,8.2538029727e+02
142249,8.2538029727e+02
145044,8.2538029727e+02
147349,8.2538029727e+02
147889,8.2538029727e+02
150580,8.2538029727e+02
152782,8.2538029727e+02
153322,8.2538029727e+02
155917,8.2538029727e+02
158022,8.2538029727e+02
158562,8.2538029727e+02
161067,8.2538029727e+02
163079,8.2538029727e+02
163619,8.2538029727e+02
166041,8.2538029727e+02
167968,8.2538029727e+02
168508,8.2538029727e+02
170849,8.2538029727e+02
172692,8.2538029727e+02
173232,8.2538029727e+02
175495,8.2538029727e+02
177261,8.2538029727e+02
177801,8.2538029727e+02
179992,8.2538029727e+02
181685,8.2538029727e+02
182225,8.2538029727e+02
184348,8.2538029727e+02
185971,8.2538029727e+02
186511,8.2538029727e+02
188569,8.2538029727e+02
190126,8.2538029727e+02
190666,8.2538029727e+02
192662,8.2538029727e+02
194156,8.2538029727e+02
194696,8.2538029727e+02
196631,8.2538029727e+02
198063,8.2538029727e+02
198603,8.2538029727e+02
200484,8.2538029727e+02
201859,8.2538029727e+02
202399,8.2538029727e+02
204224,8.2538029727e+02
205545,8.2538029727e+02
206085,8.2538029727e+02
207856,8.2538029727e+02
209123,8.2538029727e+02
209663,8.2538029727e+02
211383,8.2538029727e+02
212598,8.2538029727e+02
213138,8.2538029727e+02
214810,8.2538029727e+02
215977,8.2538029727e+02
216517,8.2538029727e+02
218144,8.2538029727e+02
219266,8.2538029727e+02
219806,8.2538029727e+02
221390,8.2538029727e+02
222465,8.2538029727e+02
223005,8.2538029727e+02
224551,8.2538029727e+02
225576,8.2538029727e+02
226116,8.2538029727e+02
227616,8.2538029727e+02
228603,8.2538029727e+02
229143,8.2538029727e+02
230601,8.2538029727e+02
231551,8.2538029727e+02
232091,8.2538029727e+02
233519,8.2538029727e+02
234422,8.2538029727e+02
234962,8.2538029727e+02
236342,8.2538029727e+02
237217,8.2538029727e+02
237757,8.2538029727e+02
239113,8.2538029727e+02
239941,8.2538029727e+02
240481,8.2538029727e+02
241792,8.2538029727e+02
242592,8.2538029727e+02
243132,8.2538029727e+02
244416,8.2538029727e+02
245183,8.2538029727e+02
245723,8.2538029727e+02
246979,8.2538029727e+02
247704,8.2538029727e+02
248244,8.2538029727e+02
249457,8.2538029727e+02
250157,8.2538029727e+02
250697,8.2538029727e+02
251885,8.2538029727e+02
252560,8.2538029727e+02
253100,8.2538029727e+02
254264,8.2538029727e+02
254906,8.2538029727e+02
255446,8.2538029727e+02
256586,8.2538029727e+02
257190,8.2538029727e+02
257730,8.2538029727e+02
258839,8.2538029727e+02
259414,8.2538029727e+02
259954,8.2538029727e+02
261030,8.2538029727e+02
261580,8.2538029727e+02
262120,8.2538029727e+02
263166,8.2538029727e+02
263691,8.2538029727e+02
264231,8.2538029727e+02
265251,8.2538029727e+02
265751,8.2538029727e+02
266291,8.2538029727e+02
267287,8.2538029727e+02
267762,8.2538029727e+02
268302,8.2538029727e+02
269274,8.2538029727e+02
269724,8.2538029727e+02
270264,8.2538029727e+02
271218,8.2538029727e+02
271643,8.2538029727e+02
272183,8.2538029727e+02
273123,8.2538029727e+02
273523,8.2538029727e+02
274063,8.2538029727e+02
274987,8.2538029727e+02
275368,8.2538029727e+02
275908,8.2538029727e+02
276808,8.2538029727e+02
277183,8.2538029727e+02
277723,8.2538029727e+02
278599,8.2538029727e+02
278949,8.2538029727e+02
279489,8.2538029727e+02
280341,8.2538029727e+02
280666,8.2538029727e+02
281206,8.2538029727e+02
282034,8.2538029727e+02
282334,8.2538029727e+02
282874,8.2538029727e+02
283691,8.2538029727e+02
283966,8.2538029727e+02
284506,8.2538029727e+02
285310,8.2538029727e+02
285585,8.2538029727e+02
286125,8.2538029727e+02
286905,8.2538029727e+02
287155,8.2538029727e+02
287695,8.2538029727e+02
288451,8.2538029727e+02
288676,8.2538029727e+02
289216,8.2538029727e+02
289972,8.2538029727e+02
290181,8.2538029727e+02
290721,8.2538029727e+02
291453,8.2538029727e+02
291653,8.2538029727e+02
292193,8.2538029727e+02
292901,8.2538029727e+02
293076,8.2538029727e+02
293616,8.2538029727e+02
294324,8.2538029727e+02
294491,8.2538029727e+02
295031,8.2538029727e+02
295715,8.2538029727e+02
295865,8.2538029727e+02
296405,8.2538029727e+02
297065,8.2538029727e+02
297190,8.2538029727e+02
297730,8.2538029727e+02
298390,8.2538029727e+02
298515,8.2538029727e+02
299055,8.2538029727e+02
299691,8.2538029727e+02
299791,8.2538029727e+02
300331,8.2538029727e+02
