fe_count,best_error
540,9.0032697327e+03
9473,9.2111671837e+02
16863,5.1549752780e+02
23550,4.3331853815e+02
29745,4.2298603857e+02
35557,4.2195713422e+02
41054,4.2169531872e+02
46281,4.2162168981e+02
51276,4.2133170726e+02
56064,4.2131116153e+02
60668,4.2102235202e+02
65103,4.2099801118e+02
69386,4.2097353174e+02
73527,4.2092111327e+02
77537,4.2083275767e+02
81425,4.2078714455e+02
85200,4.2070911471e+02
88869,4.2068486239e+02
92436,4.2065464310e+02
95908,4.2060390548e+02
99291,4.2059538472e+02
102587,4.2058670895e+02
105801,4.2057868530e+02
108938,4.2055211043e+02
112001,4.2053174875e+02
114993,4.2050889244e+02
117917,4.2049479806e+02
120775,4.2048939889e+02
123572,4.2047254227e+02
126309,4.2046942782e+02
128988,4.2046527731e+02
131611,4.2046355504e+02
134181,4.2046028874e+02
136698,4.2045949670e+02
139165,4.2045714660e+02
141582,4.2045708850e+02
143953,4.2045464430e+02
146279,4.2045257913e+02
148562,4.2045254385e+02
150800,4.2045003745e+02
152996,4.2044949746e+02
155155,4.2044793963e+02
157271,4.2044770566e+02
159352,4.2044768175e+02
161393,4.2044719266e+02
163401,4.2044672783e+02
165371,4.2044672783e+02
167308,4.2044668956e+02
169214,4.2044644383e+02
171084,4.2044622882e+02
172924,4.2044595931e+02
174734,4.2044535022e+02
176515,4.2044534633e+02
178265,4.2044526789e+02
179985,4.2044526789e+02
181678,4.2044520150e+02
183344,4.2044516460e+02
184983,4.2044515729e+02
186596,4.2044511735e+02
188184,4.2044505737e+02
189747,4.2044495217e+02
191285,4.2044493601e+02
192800,4.2044490379e+02
194291,4.2044489542e+02
195760,4.2044488186e+02
197207,4.2044485426e+02
198632,4.2044485372e+02
200032,4.2044484441e+02
201412,4.2044484319e+02
202772,4.2044483943e+02
204113,4.2044481261e+02
205436,4.2044481001e+02
206736,4.2044480981e+02
208016,4.2044480824e+02
209279,4.2044480664e+02
210527,4.2044480519e+02
211752,4.2044480488e+02
212960,4.2044480331e+02
214154,4.2044480231e+02
215329,4.2044480231e+02
216485,4.2044480196e+02
217629,4.2044479909e+02
218754,4.2044479871e+02
219862,4.2044479846e+02
220960,4.2044479775e+02
222035,4.2044479716e+02
223100,4.2044479711e+02
224150,4.2044479702e+02
225183,4.2044479606e+02
226208,4.2044479520e+02
227210,4.2044479458e+02
228207,4.2044479438e+02
229182,4.2044479417e+02
230151,4.2044479395e+02
231101,4.2044479395e+02
232043,4.2044479364e+02
232968,4.2044479343e+02
233885,4.2044479335e+02
234785,4.2044479310e+02
235679,4.2044479298e+02
236554,4.2044479289e+02
237427,4.2044479273e+02
238277,4.2044479263e+02
239127,4.2044479263e+02
239955,4.2044479262e+02
240780,4.2044479256e+02
241590,4.2044479249e+02
242390,4.2044479245e+02
243185,4.2044479244e+02
243960,4.2044479243e+02
244735,4.2044479243e+02
245492,4.2044479242e+02
246242,4.2044479242e+02
246988,4.2044479242e+02
247713,4.2044479242e+02
248438,4.2044479242e+02
249151,4.2044479242e+02
249851,4.2044479242e+02
250551,4.2044479242e+02
251234,4.2044479242e+02
251909,4.2044479242e+02
252584,4.2044479242e+02
253239,4.2044479242e+02
253889,4.2044479242e+02
254539,4.2044479242e+02
255170,4.2044479242e+02
255795,4.2044479242e+02
256420,4.2044479242e+02
257031,4.2044479242e+02
257631,4.2044479242e+02
258231,4.2044479242e+02
258825,4.2044479242e+02
259400,4.2044479242e+02
259975,4.2044479242e+02
260550,4.2044479242e+02
261106,4.2044479242e+02
261656,4.2044479242e+02
262206,4.2044479242e+02
262754,4.2044479242e+02
263279,4.2044479242e+02
263819,4.2044479242e+02
270264,4.2044479242e+02
274442,4.2044479242e+02
277728,4.2044479242e+02
280433,4.2044479242e+02
282721,4.2044479242e+02
284686,4.2044479242e+02
285226,4.2044479242e+02
290284,4.2044479242e+02
292921,4.2044479242e+02
294717,4.2044479242e+02
296019,4.2044479242e+02
296993,4.2044479242e+02
297736,4.2044479242e+02
298309,4.2044479242e+02
298755,4.2044479242e+02
299105,4.2044479242e+02
299380,4.2044479242e+02
299598,4.2044479242e+02
299769,4.2044479242e+02
299906,4.2044479242e+02
300000,4.2044479242e+02
