fe_count,best_error
540,1.9009378154e+12
9473,1.7858498856e+09
16863,5.1478105328e+08
23550,2.9005583325e+07
29745,1.5755630042e+06
35557,1.2809811645e+05
41054,6.0559908761e+04
46281,3.1031887639e+04
51276,1.5367908043e+04
56064,6.8683147026e+03
60668,3.5911124486e+03
65103,2.5527735526e+03
69386,2.2208319745e+03
73527,2.0939555268e+03
77537,2.0240109801e+03
81425,2.0045427268e+03
85200,1.9946358934e+03
88869,1.9913975330e+03
92436,1.9913975330e+03
95908,1.9829250549e+03
99291,1.9826151234e+03
102587,1.9826151234e+03
105801,1.9820161422e+03
108938,1.9798467094e+03
112001,1.9793218403e+03
114993,1.9782790059e+03
117917,1.9781240950e+03
120775,1.9781240950e+03
123572,1.9769053085e+03
126309,1.9759067270e+03
128988,1.9752818268e+03
131611,1.9752384572e+03
134181,1.9752384572e+03
136698,1.9752384572e+03
139165,1.9752384572e+03
141582,1.9752384572e+03
143953,1.9751112394e+03
146279,1.9749813597e+03
148562,1.9744525166e+03
150800,1.9744525166e+03
152996,1.9738523969e+03
155155,1.9732499820e+03
157271,1.9719164750e+03
159352,1.9715972849e+03
161393,1.9706654015e+03
163401,1.9701364168e+03
165371,1.9701346696e+03
167308,1.9701346696e+03
169214,1.9701346696e+03
171084,1.9701346696e+03
172924,1.9701346696e+03
174734,1.9697557788e+03
176515,1.9697557788e+03
178265,1.9688363352e+03
179985,1.9678158457e+03
181678,1.9678158457e+03
183344,1.9678158457e+03
184983,1.9672476534e+03
186596,1.9671295605e+03
188184,1.9664705239e+03
189747,1.9659877377e+03
191285,1.9658321287e+03
192800,1.9656538194e+03
194291,1.9655028431e+03
195760,1.9651592322e+03
197207,1.9651312034e+03
198632,1.9645216954e+03
200032,1.9645216954e+03
201412,1.9643629478e+03
202772,1.9643629478e+03
204113,1.9641844304e+03
205436,1.9641844304e+03
206736,1.9638386049e+03
208016,1.9634435402e+03
209279,1.9632803043e+03
210527,1.9630631505e+03
211752,1.9628780626e+03
212960,1.9626709357e+03
214154,1.9625348728e+03
215329,1.9622767832e+03
216485,1.9620783677e+03
217629,1.9619867186e+03
218754,1.9619507684e+03
219862,1.9618979585e+03
220960,1.9618843406e+03
222035,1.9618540724e+03
223100,1.9618294079e+03
224150,1.9617975902e+03
225183,1.9617548007e+03
226208,1.9617032236e+03
227210,1.9616168634e+03
228207,1.9614824091e+03
229182,1.9613422191e+03
230151,1.9611802496e+03
231101,1.9609885271e+03
232043,1.9608868618e+03
232968,1.9608293351e+03
233885,1.9608145355e+03
234785,1.9607117408e+03
235679,1.9606492943e+03
236554,1.9606170613e+03
237427,1.9605789865e+03
238277,1.9605270562e+03
239127,1.9605115403e+03
239955,1.9604967887e+03
240780,1.9604815445e+03
241590,1.9604681010e+03
242390,1.9604673619e+03
243185,1.9604552181e+03
243960,1.9604336734e+03
244735,1.9604267394e+03
245492,1.9604191480e+03
246242,1.9604084537e+03
246988,1.9604069547e+03
247713,1.9604019214e+03
248438,1.9603916860e+03
249151,1.9603808411e+03
249851,1.9603756933e+03
250551,1.9603621541e+03
251234,1.9603458888e+03
251909,1.9603314815e+03
252584,1.9603314815e+03
253239,1.9603168586e+03
253889,1.9602973765e+03
254539,1.9602948129e+03
255170,1.9602749124e+03
255795,1.9602713301e+03
256420,1.9602652625e+03
257031,1.9602622805e+03
257631,1.9602576990e+03
258231,1.9602561183e+03
258825,1.9602540828e+03
259400,1.9602521138e+03
259975,1.9602505364e+03
260550,1.9602501219e+03
261106,1.9602493592e+03
261656,1.9602491734e+03
262206,1.9602486351e+03
262754,1.9602457651e+03
263279,1.9602447015e+03
263804,1.9602439807e+03
264329,1.9602425833e+03
264849,1.9602420743e+03
265349,1.9602415651e+03
265849,1.9602407909e+03
266349,1.9602407909e+03
266846,1.9602407909e+03
267321,1.9602403262e+03
267796,1.9602403262e+03
268271,1.9602399763e+03
268746,1.9602398613e+03
269201,1.9602394302e+03
269651,1.9602393463e+03
270101,1.9602366207e+03
270551,1.9602353286e+03
270996,1.9602346501e+03
271421,1.9602335116e+03
271846,1.9602334683e+03
272271,1.9602333075e+03
272696,1.9602329975e+03
273113,1.9602329730e+03
273513,1.9602327201e+03
273913,1.9602327201e+03
274313,1.9602323748e+03
274713,1.9602321946e+03
275111,1.9602321381e+03
275486,1.9602319572e+03
275861,1.9602319572e+03
276236,1.9602319551e+03
276611,1.9602319551e+03
276986,1.9602319492e+03
277349,1.9602318274e+03
277699,1.9602315961e+03
278049,1.9602313837e+03
278399,1.9602312897e+03
278749,1.9602312341e+03
279099,1.9602311272e+03
279438,1.9602309507e+03
279763,1.9602308885e+03
280088,1.9602307747e+03
280413,1.9602307106e+03
280738,1.9602307031e+03
281063,1.9602306525e+03
281388,1.9602306296e+03
281691,1.9602306296e+03
281991,1.9602306296e+03
282291,1.9602306246e+03
282591,1.9602306149e+03
282891,1.9602306112e+03
283191,1.9602306101e+03
283491,1.9602305995e+03
283772,1.9602305990e+03
284047,1.9602305782e+03
284322,1.9602305643e+03
284597,1.9602305575e+03
284872,1.9602305541e+03
285147,1.9602305509e+03
285422,1.9602305419e+03
285697,1.9602305220e+03
285949,1.9602305107e+03
286199,1.9602305107e+03
286449,1.9602305084e+03
286699,1.9602303299e+03
286949,1.9602303299e+03
