fe_count,best_error
540,6.6394976402e+10
9473,3.1182076034e+09
16863,1.0965478611e+09
23550,4.6658899935e+07
29745,1.7082998483e+06
35557,1.3922117458e+05
41054,4.9159017591e+04
46281,1.9661293085e+04
51276,7.2895746511e+03
56064,4.4763094122e+03
60668,3.6260922621e+03
65103,3.4431001259e+03
69386,3.1424636556e+03
73527,2.9867278352e+03
77537,2.6835173835e+03
81425,2.1310728762e+03
85200,2.0000237481e+03
88869,1.9731421204e+03
92436,1.9625828297e+03
95908,1.9461922501e+03
99291,1.9409517890e+03
102587,1.9349870833e+03
105801,1.9349870833e+03
108938,1.9255715483e+03
112001,1.9255715483e+03
114993,1.9246015773e+03
117917,1.9210259463e+03
120775,1.9210259463e+03
123572,1.9210259463e+03
126309,1.9210259463e+03
128988,1.9210259463e+03
131611,1.9190013634e+03
134181,1.9176875531e+03
136698,1.9162815283e+03
139165,1.9162815283e+03
141582,1.9160260233e+03
143953,1.9139891129e+03
146279,1.9107253226e+03
148562,1.9107253226e+03
150800,1.9092898583e+03
152996,1.9084815934e+03
155155,1.9078801381e+03
157271,1.9076925268e+03
159352,1.9071451599e+03
161393,1.9060968383e+03
163401,1.9058750599e+03
165371,1.9048969686e+03
167308,1.9048969686e+03
169214,1.9048969686e+03
171084,1.9048969686e+03
172924,1.9048589756e+03
174734,1.9048589756e+03
176515,1.9047045813e+03
178265,1.9042144450e+03
179985,1.9042144450e+03
181678,1.9041556879e+03
183344,1.9041556879e+03
184983,1.9041556879e+03
186596,1.9041148318e+03
188184,1.9041078466e+03
189747,1.9038920441e+03
191285,1.9038770965e+03
192800,1.9037747857e+03
194291,1.9037649847e+03
195760,1.9037649847e+03
197207,1.9035113153e+03
198632,1.9034484995e+03
200032,1.9033964541e+03
201412,1.9032316150e+03
202772,1.9031623292e+03
204113,1.9029853562e+03
205436,1.9028747207e+03
206736,1.9028071475e+03
208016,1.9025571549e+03
209279,1.9023576969e+03
210527,1.9022677658e+03
211752,1.9022022931e+03
212960,1.9021239618e+03
214154,1.9018993615e+03
215329,1.9012915357e+03
216485,1.9009818053e+03
217629,1.9000501976e+03
218754,1.8990994510e+03
219862,1.8973814743e+03
220960,1.8970414560e+03
222035,1.8966232255e+03
223100,1.8962854512e+03
224150,1.8960911514e+03
225183,1.8959207339e+03
226208,1.8958537791e+03
227210,1.8957929623e+03
228207,1.8956627415e+03
229182,1.8956332357e+03
230151,1.8956024242e+03
231101,1.8955727761e+03
232043,1.8955410507e+03
232968,1.8955125075e+03
233885,1.8954996419e+03
234785,1.8954830350e+03
235679,1.8954602518e+03
236554,1.8954569906e+03
