fe_count,best_error
180,1.5626297147e+02
3177,1.1379073944e+02
5666,1.0919516094e+02
7923,1.0906686433e+02
10018,1.0692864988e+02
11987,1.0563242020e+02
13850,1.0240982605e+02
15625,1.0157677256e+02
17324,1.0156236112e+02
18952,1.0153763316e+02
20521,1.0153763316e+02
22033,1.0132153531e+02
23495,1.0132074104e+02
24909,1.0124512357e+02
26280,1.0124074033e+02
27612,1.0123845308e+02
28903,1.0106086875e+02
30161,1.0092995424e+02
31384,1.0090938256e+02
32575,1.0088453969e+02
33737,1.0086467157e+02
34871,1.0086171319e+02
35977,1.0076206610e+02
37057,1.0073478792e+02
38112,1.0073478792e+02
39143,1.0041812170e+02
40151,1.0041812170e+02
41138,1.0041812170e+02
41379,1.0041812170e+02
44235,1.0041812170e+02
46497,1.0041812170e+02
48500,1.0041812170e+02
50325,8.6892410128e+01
52015,0.0000000000e+00
53593,0.0000000000e+00
55079,0.0000000000e+00
56482,0.0000000000e+00
57814,0.0000000000e+00
59084,0.0000000000e+00
60296,0.0000000000e+00
61456,0.0000000000e+00
62568,0.0000000000e+00
63635,0.0000000000e+00
64663,0.0000000000e+00
65652,0.0000000000e+00
66608,0.0000000000e+00
67527,0.0000000000e+00
68416,0.0000000000e+00
68657,0.0000000000e+00
71269,0.0000000000e+00
73219,0.0000000000e+00
74888,0.0000000000e+00
76368,0.0000000000e+00
77706,0.0000000000e+00
78929,0.0000000000e+00
80058,0.0000000000e+00
81104,0.0000000000e+00
82079,0.0000000000e+00
82991,0.0000000000e+00
83846,0.0000000000e+00
84652,0.0000000000e+00
85413,0.0000000000e+00
85654,0.0000000000e+00
87916,0.0000000000e+00
89439,0.0000000000e+00
90669,0.0000000000e+00
91704,0.0000000000e+00
92596,0.0000000000e+00
93378,0.0000000000e+00
93619,0.0000000000e+00
95477,0.0000000000e+00
96539,0.0000000000e+00
97308,0.0000000000e+00
97897,0.0000000000e+00
98363,0.0000000000e+00
98738,0.0000000000e+00
99042,0.0000000000e+00
99293,0.0000000000e+00
99502,0.0000000000e+00
99674,0.0000000000e+00
99818,0.0000000000e+00
99940,0.0000000000e+00
100000,0.0000000000e+00
