fe_count,best_error
180,8.4863222102e+02
3177,4.7793807431e+02
5666,4.6021031702e+02
7923,4.5415396100e+02
10018,4.4817097463e+02
11987,4.4602454935e+02
13850,4.4348752154e+02
15625,4.4293089288e+02
17324,4.4183508161e+02
18952,4.4080767281e+02
20521,4.3680102023e+02
22033,4.3586322089e+02
23495,4.3585784582e+02
24909,4.3552164783e+02
26280,4.2417357799e+02
27612,4.2366312049e+02
28903,4.2311022175e+02
30161,4.2298870529e+02
31384,4.2298849487e+02
32575,4.2297398403e+02
33737,4.2297398403e+02
34871,4.2297395661e+02
35977,4.2194184284e+02
37057,4.2194180535e+02
38112,4.2142857073e+02
39143,4.2135049945e+02
40151,4.2134827788e+02
41138,4.2130139385e+02
42105,4.2126855548e+02
43053,4.2126785166e+02
43978,4.2119520808e+02
44884,4.2119513207e+02
45775,4.2119512998e+02
46650,4.2119512582e+02
47502,4.2119512582e+02
48342,4.2033357062e+02
49167,4.2007736382e+02
49972,4.1824777882e+02
50770,4.1785226966e+02
51545,4.1777827705e+02
52312,4.1776787165e+02
53062,4.1775276676e+02
53801,4.1775191031e+02
54526,4.1775176693e+02
55240,4.1775175855e+02
55940,4.1775175662e+02
56631,4.1775175651e+02
57306,4.1775175647e+02
57977,4.1775175646e+02
58627,4.1775175646e+02
59277,4.1775175646e+02
59907,4.1775175646e+02
60532,4.1775175646e+02
61149,4.1775175646e+02
61749,4.1775175646e+02
61990,4.1775175646e+02
64678,4.1775175646e+02
66727,4.1775175646e+02
68503,4.1775175646e+02
68744,4.1775175646e+02
71356,4.1775175646e+02
73302,4.1775175646e+02
74971,4.1775175646e+02
76450,4.1775175646e+02
77786,4.1775175646e+02
79009,4.1775175646e+02
80135,4.1775175646e+02
81179,4.1775175646e+02
82152,4.1775175646e+02
82393,4.1775175646e+02
84748,4.1775175646e+02
86386,4.1775175646e+02
87733,4.1775175646e+02
88885,4.1775175646e+02
89893,4.1775175646e+02
90788,4.1775175646e+02
91590,4.1775175646e+02
92314,4.1775175646e+02
92555,4.1775175646e+02
94491,4.1775175646e+02
95641,4.1775175646e+02
96494,4.1775175646e+02
97165,4.1775175646e+02
97707,4.1775175646e+02
98150,4.1775175646e+02
98521,4.1775175646e+02
98831,4.1775175646e+02
99093,4.1775175646e+02
99315,4.1775175646e+02
99504,4.1775175646e+02
99666,4.1775175646e+02
99805,4.1775175646e+02
99928,4.1775175646e+02
100000,4.1775175646e+02
