fe_count,best_error
540,1.3311727066e+04
9473,1.0382961097e+03
16863,5.4015426960e+02
23550,4.3546206316e+02
29745,4.2314048061e+02
35557,4.2196510638e+02
41054,4.2158972160e+02
46281,4.2135026700e+02
51276,4.2118799745e+02
56064,4.2107589966e+02
60668,4.2088549008e+02
65103,4.2081512664e+02
69386,4.2073941740e+02
73527,4.2063291736e+02
77537,4.2057916747e+02
81425,4.2057311486e+02
85200,4.2054336947e+02
88869,4.2053497013e+02
92436,4.2052122786e+02
95908,4.2051505907e+02
99291,4.2049780412e+02
102587,4.2048733889e+02
105801,4.2048506776e+02
108938,4.2048042201e+02
112001,4.2047690743e+02
114993,4.2047366113e+02
117917,4.2047250681e+02
120775,4.2046983123e+02
123572,4.2046835968e+02
126309,4.2046789810e+02
128988,4.2046701887e+02
131611,4.2046678840e+02
134181,4.2046634986e+02
136698,4.2046623178e+02
139165,4.2046608134e+02
141582,4.2046578135e+02
143953,4.2046545493e+02
146279,4.2046536344e+02
148562,4.2046535321e+02
150800,4.2046521739e+02
152996,4.2046514259e+02
155155,4.2046510319e+02
157271,4.2046508749e+02
159352,4.2046508314e+02
161393,4.2046505140e+02
163401,4.2046499874e+02
165371,4.2046493387e+02
167308,4.2046490058e+02
169214,4.2046060806e+02
171084,4.2046052390e+02
172924,4.2046049103e+02
174734,4.2046047875e+02
176515,4.2046023007e+02
178265,4.2046019748e+02
179985,4.2046018320e+02
181678,4.2046017315e+02
183344,4.2046017022e+02
184983,4.2046017022e+02
186596,4.2046010087e+02
188184,4.2045794406e+02
189747,4.2045762082e+02
191285,4.2045734041e+02
192800,4.2045724025e+02
194291,4.2045718948e+02
195760,4.2045717075e+02
197207,4.2045716619e+02
198632,4.2045716396e+02
200032,4.2045716067e+02
201412,4.2045715918e+02
202772,4.2045715872e+02
204113,4.2045715856e+02
205436,4.2045715849e+02
206736,4.2045715846e+02
208016,4.2045715845e+02
209279,4.2045715844e+02
210527,4.2045715844e+02
211752,4.2045715844e+02
212960,4.2045715844e+02
214154,4.2045715844e+02
215329,4.2045715844e+02
216485,4.2045715844e+02
217629,4.2045715844e+02
218754,4.2045715844e+02
219862,4.2045715844e+02
220960,4.2045715844e+02
222035,4.2045715844e+02
223100,4.2045715844e+02
224150,4.2045715844e+02
225183,4.2045715844e+02
226208,4.2045715844e+02
227210,4.2045715844e+02
228207,4.2045715844e+02
228747,4.2045715844e+02
236141,4.2045715844e+02
241452,4.2045715844e+02
245894,4.2045715844e+02
249763,4.2045715844e+02
253197,4.2045715844e+02
256291,4.2045715844e+02
256831,4.2045715844e+02
263535,4.2045715844e+02
268012,4.2045715844e+02
271601,4.2045715844e+02
274607,4.2045715844e+02
277187,4.2045715844e+02
279435,4.2045715844e+02
281417,4.2045715844e+02
283176,4.2045715844e+02
284747,4.2045715844e+02
286158,4.2045715844e+02
287429,4.2045715844e+02
288578,4.2045715844e+02
289118,4.2045715844e+02
293672,4.2045715844e+02
295802,4.2045715844e+02
297146,4.2045715844e+02
298052,4.2045715844e+02
298683,4.2045715844e+02
299131,4.2045715844e+02
299454,4.2045715844e+02
299688,4.2045715844e+02
299858,4.2045715844e+02
299982,4.2045715844e+02
300000,4.2045715844e+02
