fe_count,best_error
540,5.1424209092e+03
9473,7.4646075621e+02
16863,5.1058330465e+02
23550,2.9638997349e+02
29745,1.5374067682e+02
35557,4.9244490943e+01
41054,1.4470491554e+01
46281,2.2713946248e+00
51276,2.9886348227e-01
56064,5.7200622489e-02
60668,1.2795351304e-02
65103,2.1527793588e-03
69386,5.5538663264e-04
73527,1.0601258964e-04
77537,2.2231652110e-05
81425,4.4271678235e-06
85200,9.5392897492e-07
88869,2.9681950764e-07
92436,6.9102043199e-08
95908,1.5964360500e-08
99291,4.9772097555e-09
102587,1.3656062947e-09
105801,3.5288394429e-10
108938,1.0732037481e-10
112001,3.5015546018e-11
114993,9.5496943686e-12
117917,3.1832314562e-12
120775,1.3642420527e-12
123572,9.0949470177e-13
126309,9.0949470177e-13
128988,9.0949470177e-13
131611,9.0949470177e-13
134181,9.0949470177e-13
136698,9.0949470177e-13
137238,9.0949470177e-13
145652,9.0949470177e-13
152236,9.0949470177e-13
158037,9.0949470177e-13
163294,9.0949470177e-13
168134,9.0949470177e-13
172640,9.0949470177e-13
173180,9.0949470177e-13
181300,9.0949470177e-13
187514,9.0949470177e-13
192918,9.0949470177e-13
197763,9.0949470177e-13
202185,9.0949470177e-13
206266,9.0949470177e-13
210060,9.0949470177e-13
213607,9.0949470177e-13
216940,9.0949470177e-13
220083,9.0949470177e-13
223055,9.0949470177e-13
225872,9.0949470177e-13
226412,9.0949470177e-13
233849,9.0949470177e-13
239213,9.0949470177e-13
243712,9.0949470177e-13
247635,9.0949470177e-13
251126,9.0949470177e-13
254270,9.0949470177e-13
257132,9.0949470177e-13
259752,9.0949470177e-13
262163,9.0949470177e-13
264393,9.0949470177e-13
266460,9.0949470177e-13
268384,9.0949470177e-13
270179,9.0949470177e-13
271857,9.0949470177e-13
273430,9.0949470177e-13
274905,9.0949470177e-13
276291,9.0949470177e-13
277594,9.0949470177e-13
278822,9.0949470177e-13
279978,9.0949470177e-13
281071,9.0949470177e-13
282102,9.0949470177e-13
283077,9.0949470177e-13
283999,9.0949470177e-13
284539,9.0949470177e-13
289669,9.0949470177e-13
292383,9.0949470177e-13
294249,9.0949470177e-13
295615,9.0949470177e-13
296646,9.0949470177e-13
297439,9.0949470177e-13
298056,9.0949470177e-13
298540,9.0949470177e-13
298923,9.0949470177e-13
299228,9.0949470177e-13
299472,9.0949470177e-13
299665,9.0949470177e-13
299822,9.0949470177e-13
299947,9.0949470177e-13
300000,9.0949470177e-13
