fe_count,best_error
180,1.1029434429e+03
3177,5.4254497564e+02
5666,5.1423043705e+02
7923,4.8636394619e+02
10018,4.8172097331e+02
11987,4.8046551403e+02
13850,4.8020630680e+02
15625,4.8020630680e+02
17324,4.7981502208e+02
18952,4.7975156030e+02
20521,4.7956274922e+02
22033,4.7946007394e+02
23495,4.7945305908e+02
24909,4.7940860550e+02
26280,4.7934271615e+02
27612,4.7928350213e+02
28903,4.7928172043e+02
30161,4.7927864831e+02
31384,4.7926336864e+02
32575,4.7926181568e+02
33737,4.7925898548e+02
34871,4.7925717583e+02
35977,4.7925233167e+02
37057,4.7925233139e+02
38112,4.7925005120e+02
39143,4.7924439189e+02
40151,4.7924137100e+02
41138,4.7923857944e+02
42105,4.7923195713e+02
43053,4.7923029979e+02
43978,4.7922911170e+02
44884,4.7922543048e+02
45775,4.7922527152e+02
46650,4.7922360355e+02
47502,4.7922319484e+02
48342,4.7922306488e+02
49167,4.7922306488e+02
49972,4.7922302810e+02
50770,4.7922240681e+02
51545,4.7922227888e+02
52312,4.7922221411e+02
53062,4.7922197694e+02
53801,4.7922197683e+02
54526,4.7922142679e+02
55240,4.7922139422e+02
55940,4.7922139412e+02
56631,4.7922134587e+02
57306,4.7922087248e+02
57977,4.7922083564e+02
58627,4.7922083563e+02
59277,4.7922083563e+02
59907,4.7922060742e+02
60532,4.7922055773e+02
61149,4.7922055153e+02
61749,4.7922046625e+02
62349,4.7922046625e+02
62932,4.7922044087e+02
63507,4.7922043621e+02
64082,4.7922043621e+02
64635,4.7922041481e+02
65185,4.7922041481e+02
65735,4.7922040344e+02
66262,4.7922039768e+02
66787,4.7922037083e+02
67312,4.7922037083e+02
67819,4.7922037046e+02
68319,4.7922037046e+02
68819,4.7922036911e+02
69312,4.7922036911e+02
69787,4.7922036877e+02
70262,4.7922036860e+02
70737,4.7922036860e+02
71196,4.7922036706e+02
71646,4.7922036706e+02
72096,4.7922036488e+02
72546,4.7922036324e+02
72978,4.7922036298e+02
73403,4.7922036265e+02
73828,4.7922036240e+02
74253,4.7922036240e+02
74667,4.7922036233e+02
75067,4.7922036233e+02
75467,4.7922036233e+02
75708,4.7922036233e+02
78209,4.7922036233e+02
80026,4.7922036233e+02
81554,4.7922036233e+02
81795,4.7922036233e+02
84168,4.7922036233e+02
85826,4.7922036233e+02
87190,4.7922036233e+02
88362,4.7922036233e+02
88603,4.7922036233e+02
90754,4.7922036233e+02
92147,4.7922036233e+02
93244,4.7922036233e+02
94148,4.7922036233e+02
94914,4.7922036233e+02
95572,4.7922036233e+02
96142,4.7922036233e+02
96642,4.7922036233e+02
97084,4.7922036233e+02
97474,4.7922036233e+02
97821,4.7922036233e+02
98132,4.7922036233e+02
98411,4.7922036233e+02
98659,4.7922036233e+02
98884,4.7922036233e+02
99084,4.7922036233e+02
99264,4.7922036233e+02
99429,4.7922036233e+02
99579,4.7922036233e+02
99711,4.7922036233e+02
99836,4.7922036233e+02
99944,4.7922036233e+02
100000,4.7922036233e+02
