fe_count,best_error
180,1.6736918640e+02
3177,1.1648685372e+02
5666,1.1109196038e+02
7923,1.0998713166e+02
10018,1.0924206659e+02
11987,1.0708527343e+02
13850,1.0504762612e+02
15625,1.0456843414e+02
17324,1.0404444613e+02
18952,1.0394223711e+02
20521,1.0359504225e+02
22033,1.0290543278e+02
23495,1.0205495121e+02
24909,1.0166072021e+02
26280,1.0161984628e+02
27612,1.0146257394e+02
28903,1.0103424744e+02
30161,1.0103066517e+02
31384,1.0102901690e+02
32575,1.0101367461e+02
33737,1.0097406599e+02
34871,1.0097285123e+02
35977,1.0088660274e+02
37057,1.0087642465e+02
38112,1.0087160378e+02
39143,1.0085858350e+02
40151,1.0084499564e+02
41138,1.0084499564e+02
42105,1.0084499564e+02
43053,1.0083111959e+02
43978,1.0082525966e+02
44884,1.0082190182e+02
45775,1.0081852228e+02
46650,1.0081748366e+02
47502,1.0081633206e+02
48342,1.0081031596e+02
49167,1.0081031596e+02
49972,1.0081031596e+02
50770,1.0080793766e+02
51545,1.0080309952e+02
52312,1.0080276354e+02
53062,1.0080130243e+02
53801,1.0079713797e+02
54526,1.0079694835e+02
55240,1.0079663221e+02
55940,1.0079433771e+02
56631,1.0079433771e+02
57306,1.0079427448e+02
57977,1.0079296059e+02
58627,1.0079182410e+02
59277,1.0079059516e+02
59907,1.0079045573e+02
60532,1.0078928522e+02
61149,1.0078928022e+02
61749,1.0078918622e+02
62349,1.0078903727e+02
62932,1.0078903240e+02
63507,1.0078838688e+02
64082,1.0078771749e+02
64635,1.0078771749e+02
65185,1.0078771742e+02
65735,1.0078572571e+02
66262,1.0078572571e+02
66787,1.0078475526e+02
67312,1.0078469826e+02
67819,1.0078469826e+02
68319,1.0078469826e+02
68560,1.0078469826e+02
71173,1.0078469826e+02
73126,1.0078469826e+02
74797,0.0000000000e+00
76280,0.0000000000e+00
77620,0.0000000000e+00
78845,0.0000000000e+00
79975,0.0000000000e+00
81022,0.0000000000e+00
81263,0.0000000000e+00
83649,0.0000000000e+00
85321,0.0000000000e+00
86701,0.0000000000e+00
87890,0.0000000000e+00
88934,0.0000000000e+00
89864,0.0000000000e+00
90700,0.0000000000e+00
91457,0.0000000000e+00
92148,0.0000000000e+00
92389,0.0000000000e+00
94337,0.0000000000e+00
95500,0.0000000000e+00
96367,0.0000000000e+00
97049,0.0000000000e+00
97602,0.0000000000e+00
98057,0.0000000000e+00
98436,0.0000000000e+00
98755,0.0000000000e+00
99025,0.0000000000e+00
99257,0.0000000000e+00
99452,0.0000000000e+00
99620,0.0000000000e+00
99766,0.0000000000e+00
99891,0.0000000000e+00
99996,0.0000000000e+00
100000,0.0000000000e+00
