fe_count,best_error
540,2.2081109087e+03
9473,6.9736507500e+02
16863,5.9299087598e+02
23550,5.6611128864e+02
29745,5.3613306348e+02
35557,5.1832176084e+02
41054,5.1340861322e+02
46281,5.1012101399e+02
51276,5.0914964128e+02
56064,5.0486289165e+02
60668,5.0104551444e+02
65103,4.9838306236e+02
69386,4.9524173762e+02
73527,4.9302105256e+02
77537,4.9297579126e+02
81425,4.8998713101e+02
85200,4.8998713101e+02
88869,4.8905009376e+02
92436,4.8839978873e+02
95908,4.8762497858e+02
99291,4.8656837604e+02
102587,4.8509528116e+02
105801,4.8490402922e+02
108938,4.8453945376e+02
112001,4.8433809719e+02
114993,4.8347231165e+02
117917,4.8344568431e+02
120775,4.8339407906e+02
123572,4.8306232000e+02
126309,4.8306232000e+02
128988,4.8262111209e+02
131611,4.8194226766e+02
134181,4.8187729692e+02
136698,4.8177490710e+02
139165,4.8172853041e+02
141582,4.8172557905e+02
143953,4.8171561495e+02
146279,4.8167012417e+02
148562,4.8144594534e+02
150800,4.8132270473e+02
152996,4.8128400628e+02
155155,4.8116788236e+02
157271,4.8112595409e+02
159352,4.8110513404e+02
161393,4.8109152061e+02
163401,4.8109152061e+02
165371,4.8103562030e+02
167308,4.8101512854e+02
169214,4.8072847731e+02
171084,4.8070511846e+02
172924,4.8057984569e+02
174734,4.8056908648e+02
176515,4.8056465358e+02
178265,4.8052047504e+02
179985,4.8051168136e+02
181678,4.8051017421e+02
183344,4.8050997724e+02
184983,4.8050989508e+02
186596,4.8048764662e+02
188184,4.8047898628e+02
189747,4.8047809391e+02
191285,4.8045877819e+02
192800,4.8045693126e+02
194291,4.8045511363e+02
195760,4.8040690072e+02
197207,4.8038476139e+02
198632,4.8038470092e+02
200032,4.8038466892e+02
201412,4.8035659009e+02
202772,4.8028737446e+02
204113,4.8026594315e+02
205436,4.8021940494e+02
206736,4.7993740825e+02
208016,4.7991118753e+02
209279,4.7990899859e+02
210527,4.7990807256e+02
211752,4.7989309788e+02
212960,4.7989309788e+02
214154,4.7989220207e+02
215329,4.7988590611e+02
216485,4.7986128922e+02
217629,4.7986023564e+02
218754,4.7985631629e+02
219862,4.7985553538e+02
220960,4.7985553464e+02
222035,4.7985545725e+02
223100,4.7985303211e+02
224150,4.7985300042e+02
225183,4.7984545582e+02
226208,4.7984422544e+02
227210,4.7983939174e+02
228207,4.7983935953e+02
229182,4.7981862462e+02
230151,4.7981194077e+02
231101,4.7980957131e+02
232043,4.7980887133e+02
232968,4.7980799610e+02
233885,4.7980040975e+02
234785,4.7979939732e+02
235679,4.7979939713e+02
236554,4.7979939713e+02
237427,4.7979926101e+02
238277,4.7979903215e+02
239127,4.7979896759e+02
239955,4.7979877467e+02
240780,4.7978498351e+02
241590,4.7978084898e+02
242390,4.7977498836e+02
243185,4.7977096914e+02
243960,4.7976738555e+02
244735,4.7976719062e+02
245492,4.7976719061e+02
246242,4.7976717209e+02
246988,4.7976717209e+02
247713,4.7976716670e+02
248438,4.7974568285e+02
249151,4.7974566169e+02
249851,4.7974439610e+02
250551,4.7974332674e+02
251234,4.7973610511e+02
251909,4.7973359719e+02
252584,4.7973208619e+02
253239,4.7973194019e+02
253889,4.7973080048e+02
254539,4.7972965659e+02
255170,4.7972963810e+02
255795,4.7972936675e+02
256420,4.7972896726e+02
257031,4.7972871703e+02
257631,4.7972852559e+02
258231,4.7972851347e+02
258825,4.7968566066e+02
259400,4.7968269729e+02
259975,4.7968093832e+02
260550,4.7968093830e+02
261106,4.7967950368e+02
261656,4.7965085822e+02
262206,4.7963947021e+02
262754,4.7963864468e+02
263279,4.7963534061e+02
263804,4.7963373593e+02
264329,4.7963366531e+02
264849,4.7963366530e+02
265349,4.7963324375e+02
265849,4.7963258556e+02
266349,4.7963245168e+02
266846,4.7963237653e+02
267321,4.7960643158e+02
267796,4.7960617033e+02
268271,4.7960606214e+02
268746,4.7960522526e+02
269201,4.7960517057e+02
269651,4.7960515712e+02
270101,4.7960188881e+02
270551,4.7960187257e+02
270996,4.7960157741e+02
271421,4.7960120224e+02
271846,4.7960120224e+02
272271,4.7957372765e+02
272696,4.7953880320e+02
273113,4.7953845851e+02
273513,4.7953543529e+02
273913,4.7953542661e+02
274313,4.7953528388e+02
274713,4.7953469915e+02
275111,4.7953398386e+02
275486,4.7953356421e+02
275861,4.7953341323e+02
276236,4.7953333153e+02
276611,4.7953329345e+02
276986,4.7953274284e+02
277349,4.7953261407e+02
277699,4.7953260495e+02
278049,4.7953256902e+02
278399,4.7953129659e+02
278749,4.7953128500e+02
279099,4.7953126175e+02
279438,4.7953126017e+02
279763,4.7953123889e+02
280088,4.7953018347e+02
280413,4.7953018161e+02
280738,4.7951901598e+02
281063,4.7951656557e+02
281388,4.7951359415e+02
281691,4.7951350885e+02
281991,4.7951277035e+02
282291,4.7951235677e+02
282591,4.7951144534e+02
282891,4.7951110589e+02
283191,4.7951108698e+02
283491,4.7950866820e+02
283772,4.7950629544e+02
284047,4.7950561617e+02
