variant,dim,func,seed,best_fit,elapsed_s,explore_pct,mean_kappa,effective_threshold,n_explore_agents,err_at_10pct,err_at_25pct,err_at_50pct,err_at_75pct,err_at_100pct
ORC-SHADE,10,7,1,4.5992010200279765e-08,160.79,31.32,-0.25,0.0,1,26.377219485636942,7.633560142667648,0.5837972476558662,0.11207681867358588,4.5992010200279765e-08
ORC-SHADE[no-orc],10,1,16,0.0,42.22,0.0,0.0,2.0,0,2.847523887794523e-07,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,2,12,3.986579112347158,23.64,0.0,0.0,2.0,0,3.9995842001073356,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158
ORC-SHADE[no-orc],10,1,17,0.0,42.52,0.0,0.0,2.0,0,2.727222181420075e-07,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,2,11,3.986579112347158,24.81,0.0,0.0,2.0,0,3.986913231081701,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158
ORC-SHADE[no-orc],10,2,5,3.986579112347158,30.61,0.0,0.0,2.0,0,3.9878314458065347,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158
ORC-SHADE[no-orc],10,2,14,3.986579112347158,24.26,0.0,0.0,2.0,0,3.9869971448765114,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158
ORC-SHADE[no-orc],10,1,20,0.0,42.22,0.0,0.0,2.0,0,1.826684297157044e-07,0.0,0.0,0.0,0.0
ORC-SHADE,10,7,10,1.3888211469748057e-08,159.42,29.26,-0.25,0.0,0,22.335800538639887,9.111820601556701,1.0862461539397827,0.2782065522033008,1.3888211469748057e-08
ORC-SHADE[no-orc],10,1,25,0.0,39.69,0.0,0.0,2.0,0,4.3089704604426515e-07,0.0,0.0,0.0,0.0
ORC-SHADE,10,7,18,1.4802026271354407e-10,158.0,32.03,-0.4042,0.0,0,22.552243480967718,3.986649712962617,0.5769993339233679,0.1526672090124066,1.4802026271354407e-10
ORC-SHADE,10,7,4,0.17437380387627854,161.26,26.04,-0.5,0.0,0,25.257007882531298,21.330740279944166,20.440343323726438,20.251861114634494,0.17437380387627854
ORC-SHADE[no-orc],10,2,16,3.986579112347158,24.24,0.0,0.0,2.0,0,3.9867334863201336,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158
ORC-SHADE[no-orc],10,2,15,3.986579112347158,24.36,0.0,0.0,2.0,0,4.030311665398699,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158
ORC-SHADE,10,11,20,0.0,87.83,8.72,0.0,0.0,0,2.0269222659408115e-05,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,2,20,3.986579112347158,23.69,0.0,-0.5,2.0,0,3.986987375629269,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158
ORC-SHADE,10,7,12,5.1299028427820303e-05,160.65,33.29,-0.551,0.0,2,30.57069782157464,3.436371897987101,0.5508599524168858,0.4253310637357117,5.1299028427820303e-05
ORC-SHADE[no-orc],10,2,17,3.986579112347158,24.23,0.0,0.0,2.0,0,3.9878750924262363,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158
ORC-SHADE,10,11,21,4.547473508864641e-13,86.9,9.86,0.0,0.0,0,0.0002393558938820206,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13
ORC-SHADE[no-orc],10,1,23,0.0,42.0,0.0,-0.2575,2.0,0,4.0478840901414515e-07,0.0,0.0,0.0,0.0
ORC-SHADE,10,7,2,1.4797024050494656e-08,165.15,31.53,-0.75,0.0,2,22.10457093619584,2.3212588354519994,0.19564969533212206,0.03334958378081865,1.4797024050494656e-08
ORC-SHADE[no-orc],10,1,24,0.0,42.49,0.0,-0.0774,2.0,0,2.0190035456835176e-06,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,1,26,0.0,41.81,0.0,0.0,2.0,0,1.3004870424992987e-07,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,2,24,3.986579112347158,23.95,0.0,-0.1238,2.0,0,3.99052540600303,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158
ORC-SHADE,10,7,7,3.684476723719854e-08,163.38,31.23,0.0,0.0,0,24.587416714102574,5.26221237749678,1.0091384908737382,0.21209833673265166,3.684476723719854e-08
ORC-SHADE[no-orc],10,2,22,3.986579112347158,25.01,0.0,-0.1557,2.0,0,4.116570844025659,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158
ORC-SHADE,10,7,21,3.279399152233964e-07,161.26,28.01,-0.25,0.0,0,24.119429827409476,6.470411450466827,0.9284460467881672,0.16102342735712227,3.279399152233964e-07
ORC-SHADE[no-orc],10,2,23,8.916101927781312,25.38,0.0,0.0,2.0,0,8.916102088261027,8.916101927781312,8.916101927781312,8.916101927781312,8.916101927781312
ORC-SHADE[no-orc],10,2,25,3.986579112347158,25.34,0.0,0.0,2.0,0,4.0001269381210705,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158
