algorithm,dataset,budget,trial,best_accuracy,best_fitness,n_queries,elapsed_s,is_real_data
RE,cifar10,200,31,80.0663,19.9337,200,0.069,False
RE,cifar10,200,21,80.0663,19.9337,200,0.061,False
RE,cifar10,200,40,80.0663,19.9337,200,0.064,False
RE,cifar10,200,33,80.0663,19.9337,200,0.062,False
RE,cifar10,200,28,80.0663,19.9337,200,0.082,False
RE,cifar10,200,34,80.0663,19.9337,200,0.033,False
RE,cifar10,200,32,80.0663,19.9337,200,0.072,False
RE,cifar10,200,51,80.0663,19.9337,200,0.014,False
RE,cifar10,200,26,80.0663,19.9337,200,0.052,False
RE,cifar10,200,35,80.0663,19.9337,200,0.036,False
ORC-RE,cifar10,100,9,80.0663,19.9337,100,13.891,False
RE,cifar10,200,42,80.0663,19.9337,200,0.026,False
RE,cifar10,200,63,80.0663,19.9337,200,0.015,False
RE,cifar10,200,37,80.0663,19.9337,200,0.03,False
RE,cifar10,200,44,80.0663,19.9337,200,0.034,False
RE,cifar10,200,62,80.0663,19.9337,200,0.018,False
RE,cifar10,200,45,80.0663,19.9337,200,0.024,False
RE,cifar10,200,17,80.0663,19.9337,200,0.083,False
RE,cifar10,200,38,80.0663,19.9337,200,0.089,False
RE,cifar10,200,30,80.0663,19.9337,200,0.098,False
RE,cifar10,200,46,80.0663,19.9337,200,0.027,False
RE,cifar10,200,13,80.0663,19.9337,200,0.087,False
RE,cifar10,200,48,80.0663,19.9337,200,0.046,False
RE,cifar10,200,47,80.0663,19.9337,200,0.041,False
RE,cifar10,200,52,80.0663,19.9337,200,0.028,False
RE,cifar10,200,50,80.0663,19.9337,200,0.037,False
RE,cifar10,200,39,80.0663,19.9337,200,0.029,False
RE,cifar10,200,72,80.0663,19.9337,200,0.021,False
RE,cifar10,200,53,80.0663,19.9337,200,0.029,False
RE,cifar10,200,67,80.0663,19.9337,200,0.031,False
RE,cifar10,200,49,80.0663,19.9337,200,0.036,False
RE,cifar10,200,54,80.0663,19.9337,200,0.067,False
RE,cifar10,200,56,80.0663,19.9337,200,0.06,False
RE,cifar10,200,59,80.0663,19.9337,200,0.059,False
RE,cifar10,200,61,80.0663,19.9337,200,0.062,False
RE,cifar10,200,43,80.0663,19.9337,200,0.079,False
RE,cifar10,200,58,80.0663,19.9337,200,0.075,False
RE,cifar10,200,64,80.0663,19.9337,200,0.03,False
RE,cifar10,200,57,80.0663,19.9337,200,0.018,False
ORC-RE,cifar10,100,35,76.0475,23.9525,100,13.922,False
RE,cifar10,200,80,80.0663,19.9337,200,0.015,False
RE,cifar10,200,65,80.0663,19.9337,200,0.03,False
RE,cifar10,200,68,80.0663,19.9337,200,0.064,False
RE,cifar10,200,60,80.0663,19.9337,200,0.081,False
RE,cifar10,200,36,80.0663,19.9337,200,0.092,False
RE,cifar10,200,70,80.0663,19.9337,200,0.067,False
RE,cifar10,200,71,80.0663,19.9337,200,0.061,False
ORC-RE,cifar10,100,42,75.004,24.996,100,13.791,False
RE,cifar10,200,77,80.0663,19.9337,200,0.024,False
RE,cifar10,200,92,82.0162,17.9838,200,0.014,False
RE,cifar10,200,74,80.0663,19.9337,200,0.029,False
RE,cifar10,200,66,80.0663,19.9337,200,0.047,False
RE,cifar10,200,75,80.0663,19.9337,200,0.068,False
RE,cifar10,200,94,80.0663,19.9337,200,0.012,False
RE,cifar10,200,69,80.0663,19.9337,200,0.023,False
RE,cifar10,200,79,80.0663,19.9337,200,0.023,False
Tabu,cifar10,200,3,80.0663,19.9337,200,0.003,False
RE,cifar10,200,78,80.0663,19.9337,200,0.029,False
RE,cifar10,200,73,80.0663,19.9337,200,0.079,False
Tabu,cifar10,200,5,80.0663,19.9337,200,0.002,False
RE,cifar10,200,81,80.0663,19.9337,200,0.031,False
